user_id,restaurant_id,rating,timestamp
U041,R134,1,2025-05-03 11:16:13.529887
U034,R099,1,2024-09-20 11:16:13.529899
U053,R197,1,2024-12-09 11:16:13.529905
U026,R099,4,2025-01-21 11:16:13.529915
U089,R153,2,2024-10-05 11:16:13.529921
U082,R122,1,2025-02-14 11:16:13.529925
U068,R088,4,2025-01-22 11:16:13.529929
U083,R085,2,2025-03-03 11:16:13.529935
U071,R166,5,2024-12-23 11:16:13.529940
U029,R094,2,2025-04-20 11:16:13.529944
U025,R078,5,2025-01-27 11:16:13.529948
U046,R174,4,2025-03-20 11:16:13.529952
U081,R029,3,2025-01-11 11:16:13.529956
U056,R152,5,2025-03-21 11:16:13.529960
U071,R132,1,2024-08-05 11:16:13.529964
U041,R066,1,2024-10-10 11:16:13.529968
U084,R116,1,2024-07-27 11:16:13.529973
U001,R043,1,2024-07-22 11:16:13.529977
U030,R081,1,2025-03-14 11:16:13.529981
U028,R152,5,2025-05-04 11:16:13.529985
U067,R181,2,2025-06-11 11:16:13.529988
U030,R171,3,2025-04-19 11:16:13.529992
U089,R173,1,2024-12-18 11:16:13.529996
U008,R053,1,2025-03-14 11:16:13.530000
U011,R072,4,2024-11-22 11:16:13.530004
U005,R038,1,2025-06-11 11:16:13.530008
U038,R152,3,2025-01-23 11:16:13.530012
U066,R182,2,2025-05-01 11:16:13.530016
U061,R062,5,2024-09-29 11:16:13.530020
U094,R142,5,2025-01-28 11:16:13.530024
U005,R005,2,2025-04-27 11:16:13.530028
U015,R177,3,2025-01-13 11:16:13.530032
U091,R086,5,2025-01-20 11:16:13.530036
U079,R127,4,2025-05-22 11:16:13.530040
U081,R093,3,2025-03-22 11:16:13.530044
U003,R002,3,2025-04-16 11:16:13.530048
U058,R055,3,2024-08-05 11:16:13.530052
U059,R129,3,2024-12-22 11:16:13.530056
U019,R039,2,2025-04-09 11:16:13.530060
U011,R057,2,2024-12-23 11:16:13.530064
U061,R060,5,2025-05-05 11:16:13.530067
